subset,nominal_pct,n,empirical_coverage,mean_width_mps,median_width_mps
all,90,1304,0.901840490797546,187.90041183064048,187.9004118306405
Quaternary,90,772,0.9365284974093264,187.90041183064054,187.9004118306405
Tertiary,90,532,0.8515037593984962,187.9004118306405,187.90041183064048
MASW,90,1160,0.9146551724137931,187.90041183064048,187.9004118306405
SCPT,90,144,0.7986111111111112,187.90041183064048,187.9004118306405
vs_ge_400,90,215,0.6325581395348837,187.90041183064054,187.90041183064048
vs_lt_400,90,1089,0.9550045913682277,187.90041183064048,187.9004118306405
