model,rmse_mps,mae_mps,r2,bias_mps
specialist_weighted_stack,59.32048328948727,42.147117992321135,0.6190050204865487,-3.364112679083841
base_weighted_stack,61.05319789090813,43.48999404381262,0.5964227050822983,-9.11315965621861
extra_trees_profile,61.45617830806616,43.913516152362256,0.5910775148972904,-8.271163322085524
random_forest_profile,61.921206507329835,43.96140971815799,0.5848656108126031,-5.299642798297815
empirical_baseline,64.98090336158425,46.534108114830595,0.5428261502771895,-16.497818445560068
