subset,nominal_pct,n,empirical_coverage,mean_width_mps,median_width_mps
all,90,1304,0.901840490797546,187.53037276589757,187.5303727658976
Quaternary,90,772,0.9378238341968912,187.53037276589757,187.5303727658976
Tertiary,90,532,0.849624060150376,187.53037276589757,187.5303727658976
MASW,90,1160,0.9137931034482759,187.5303727658976,187.5303727658976
SCPT,90,144,0.8055555555555556,187.5303727658976,187.5303727658976
vs_ge_400,90,215,0.6325581395348837,187.53037276589754,187.5303727658976
vs_lt_400,90,1089,0.9550045913682277,187.5303727658976,187.5303727658976
