subset,model,rmse_mps,mae_mps,r2,bias_mps
all,base_weighted_stack,61.05319789090812,43.489994043812594,0.5964227050822983,-9.113159656218597
all,specialist_weighted_stack,59.3226104920195,42.12916135458401,0.6189776954220357,-3.4348400044019423
Quaternary,base_weighted_stack,53.60666972918489,36.812390363177755,0.44830571733917546,-4.04148624682156
Quaternary,specialist_weighted_stack,52.562978550101946,36.59535082793545,0.46957893673683426,-1.3739455151481315
Tertiary,base_weighted_stack,70.47334197041306,53.18005051270376,0.4300246131947929,-16.472806032260912
Tertiary,specialist_weighted_stack,67.94606628659403,50.15942775791614,0.4701718791602363,-6.425461330913109
MASW,base_weighted_stack,56.87470220269981,40.54017219650252,0.6404923166361198,-6.806535852098075
MASW,specialist_weighted_stack,55.99516303937661,39.58461313715981,0.6515255573602742,-1.5923333331338074
SCPT,base_weighted_stack,87.73231088167577,67.25244781381045,0.28142751061584714,-27.69429585607835
SCPT,specialist_weighted_stack,81.30313773120187,62.62691088383445,0.3828850584049699,-18.277254856284138
vs_ge_400,base_weighted_stack,116.66470153977619,95.20047444327898,-2.3870030815402763,-86.11695692055777
vs_ge_400,specialist_weighted_stack,106.81030408136782,82.19567506402836,-1.838984007306899,-63.26012419264721
vs_lt_400,base_weighted_stack,42.145845538965595,33.28085420369756,0.4408221722405504,6.0896102352716905
vs_lt_400,specialist_weighted_stack,44.28998700407699,34.2188762787984,0.3824793202041713,8.376396084186423
