project,model,n,rmse_mps,mae_mps,r2,bias_mps
Bacso,empirical,31,76.69453821865692,65.1337628656694,0.34909023895596447,-39.92962422100378
Bacso,rf,31,81.8380049245765,68.54472861750929,0.25885705751388133,-39.083032523170544
Bacso,et,31,84.27823050643377,69.95099065310079,0.2139996710427977,-33.695349640331926
Bacso,base_stack,31,83.5346835660625,69.41250840719475,0.2278075089575684,-34.34988676520024
Bacso,specialist_stack,31,87.23747527074909,73.61410148734916,0.15783325751298427,-25.980033913973784
Balazs Bela u,empirical,55,37.14039413785134,30.265747142097386,0.4252991046757424,19.268606086508033
Balazs Bela u,rf,55,36.744695775514046,30.50994351921753,0.43747973930678663,18.979530485435887
Balazs Bela u,et,55,39.052600908096444,32.44206065646711,0.364597698160275,21.014310168444347
Balazs Bela u,base_stack,55,36.338092683749196,29.730072037435715,0.44986013835957883,19.030387976678643
Balazs Bela u,specialist_stack,55,36.28650152539538,29.69844315201123,0.4514211561589314,18.892085618820822
Budapart,empirical,186,61.046625181676724,39.91683599298859,0.4013293439095157,-2.111008532739237
Budapart,rf,186,62.98241354930196,41.77408683175924,0.3627596754928366,-0.604385881827045
Budapart,et,186,62.17446165576406,41.09471536685828,0.37900412005577455,-1.6790448461364111
Budapart,base_stack,186,62.10078032062953,41.01709544373942,0.3804751000151607,-1.661120432403977
Budapart,specialist_stack,186,59.15581223385691,39.89685446657684,0.4378405764006559,-0.5408794552413947
Dunaterasz,empirical,43,42.726562953642116,32.02225246966167,0.7720186360572173,-7.822083686427816
Dunaterasz,rf,43,59.63789582707912,42.03758259446494,0.5558311937169651,13.810506024310207
Dunaterasz,et,43,54.645158715861314,39.348931754043925,0.6270876088954307,7.541832279309759
Dunaterasz,base_stack,43,43.476157672662005,33.12824126087171,0.7639490562353237,4.125926128060548
Dunaterasz,specialist_stack,43,43.50295642424214,33.09889862707246,0.763657962423094,4.113225544130447
Dévai 14,empirical,18,138.29526697697625,115.108135789264,0.20120087562849953,-99.20173246484475
Dévai 14,rf,18,128.9059482430036,109.48722190802599,0.30598499239811694,-94.43392998916279
Dévai 14,et,18,133.90032365037203,112.92947222649872,0.2511648884183125,-90.78466372984421
Dévai 14,base_stack,18,133.7934681497484,112.88636762370878,0.2523595863966278,-91.43844042067104
Dévai 14,specialist_stack,18,117.35239054741857,99.59655489307121,0.4248159587688556,-70.04911752283834
Futo u,empirical,31,69.0329923201142,55.48557904579834,0.20547174301682225,-6.067423716574395
Futo u,rf,31,62.781862619277774,50.569063507736175,0.342850257395243,-1.6749740770418642
Futo u,et,31,62.30032452264769,49.75448654533733,0.352892300193691,3.4312475606573885
