fold,model,n,rmse_mps,mae_mps,r2,bias_mps
1,empirical,389,60.13094089970291,47.74181578024894,0.6553671220273567,-38.50778186721319
1,rf,389,55.34086945082439,42.83309074129399,0.7080875192518201,-16.278589256030198
1,et,389,55.96259961935688,43.169419581672734,0.7014916604575658,-23.28135065429985
1,base_stack,389,55.79105788164716,44.073557359936046,0.7033188864252535,-31.037050214686584
1,specialist_stack,389,51.63218053883442,40.44030972757505,0.7459017693348448,-20.576066942425786
2,empirical,235,72.04515417925232,49.00265782016332,0.46534842855152736,-14.536583499182214
2,rf,235,72.77316885971598,50.49207120082755,0.4544885504976869,-12.86723626401297
2,et,235,73.27965115557762,50.40352454705848,0.4468688918927868,-12.727583520718547
2,base_stack,235,73.10272832236605,50.26775374632054,0.44953657344385656,-12.849816245618834
2,specialist_stack,235,69.4875000718205,48.91740453177191,0.5026356274770803,-9.220718065613518
3,empirical,225,47.43927546184098,37.41294298918521,0.2678290308472516,12.221288266409118
3,rf,225,53.9790151505726,38.98314257554451,0.052048052346475915,24.132752596005187
3,et,225,49.33482601061415,35.90326357565413,0.20814874040617848,22.226141152849166
3,base_stack,225,49.233113561793985,36.80270962446079,0.21141045681807769,18.332545302918916
3,specialist_stack,225,52.1900032622321,38.43458751245854,0.11384221315590481,22.24420935318495
4,empirical,230,73.11118827338768,46.55745953409926,0.45709430161637843,-7.201187613533559
4,rf,230,70.20870125602382,44.974879192582826,0.4993449585140164,-6.29166662141033
4,et,230,70.77794431796522,46.08889803050879,0.4911935541279203,-6.066717234596097
4,base_stack,230,70.69925004466141,45.04728976837331,0.4923243553860114,-6.912512158376559
4,specialist_stack,230,68.33844034310835,44.685585431619366,0.5256631766793134,-4.073334869450372
5,empirical,225,54.51939216981706,41.08874654381072,0.6082671984952448,-9.033686279751945
5,rf,225,61.519537013699725,45.26120440794823,0.5012142417819859,1.523701437767883
5,et,225,60.691021554105006,45.9256968510061,0.5145585871474867,-4.165529576170036
5,base_stack,225,55.03707862928147,42.08893344180185,0.6007925156972265,-3.1737589264422166
5,specialist_stack,225,55.4745489541081,42.45803941771742,0.5944209744107962,-1.8544578660740005
