fold,threshold,cap,inner_rmse,specialist_weights
1,325.0,0.5,60.98098144604501,"(0.0, 0.5, 0.1)"
1,325.0,0.65,60.931185775947355,"(0.0, 0.65, 0.15)"
1,325.0,0.8,60.931185775947355,"(0.0, 0.65, 0.15)"
1,350.0,0.5,60.72699890336044,"(0.1, 0.5, 0.5)"
1,350.0,0.65,60.62345861775753,"(0.15, 0.65, 0.65)"
1,350.0,0.8,60.61653313400556,"(0.15, 0.7, 0.75)"
1,375.0,0.5,61.02089695773628,"(0.0, 0.5, 0.0)"
1,375.0,0.65,60.97814771090883,"(0.05, 0.65, 0.0)"
1,375.0,0.8,60.97814771090883,"(0.05, 0.65, 0.0)"
2,325.0,0.5,58.39246395750576,"(0.25, 0.5, 0.5)"
2,325.0,0.65,58.161975100265686,"(0.2, 0.65, 0.65)"
2,325.0,0.8,58.039406730876436,"(0.15, 0.8, 0.8)"
2,350.0,0.5,58.13009991773206,"(0.4, 0.5, 0.5)"
2,350.0,0.65,57.769280930443,"(0.45, 0.65, 0.65)"
2,350.0,0.8,57.49276178566437,"(0.5, 0.8, 0.8)"
2,375.0,0.5,59.47402612829075,"(0.4, 0.5, 0.45)"
2,375.0,0.65,59.44216376572031,"(0.4, 0.65, 0.45)"
2,375.0,0.8,59.4193478124204,"(0.4, 0.8, 0.45)"
3,325.0,0.5,57.24402637776372,"(0.0, 0.5, 0.2)"
3,325.0,0.65,57.24402637776372,"(0.0, 0.5, 0.2)"
3,325.0,0.8,57.24402637776372,"(0.0, 0.5, 0.2)"
3,350.0,0.5,57.09962800806583,"(0.0, 0.5, 0.35)"
3,350.0,0.65,57.097917329442296,"(0.0, 0.55, 0.35)"
3,350.0,0.8,57.097917329442296,"(0.0, 0.55, 0.35)"
3,375.0,0.5,56.750805786924715,"(0.0, 0.5, 0.5)"
3,375.0,0.65,56.7410195298162,"(0.0, 0.6, 0.5)"
3,375.0,0.8,56.7410195298162,"(0.0, 0.6, 0.5)"
4,325.0,0.5,56.518306475105895,"(0.15, 0.5, 0.05)"
4,325.0,0.65,56.400100409393374,"(0.15, 0.65, 0.05)"
4,325.0,0.8,56.29661562267536,"(0.2, 0.8, 0.05)"
4,350.0,0.5,55.89044180713727,"(0.0, 0.5, 0.45)"
4,350.0,0.65,55.77553660193279,"(0.0, 0.65, 0.45)"
4,350.0,0.8,55.67422904248635,"(0.0, 0.8, 0.45)"
4,375.0,0.5,55.844051046716196,"(0.05, 0.5, 0.5)"
4,375.0,0.65,55.72729319293576,"(0.05, 0.65, 0.5)"
4,375.0,0.8,55.62537437926823,"(0.05, 0.8, 0.5)"
5,325.0,0.5,67.4724386023332,"(0.4, 0.15, 0.0)"
5,325.0,0.65,67.4724386023332,"(0.4, 0.15, 0.0)"
5,325.0,0.8,67.4724386023332,"(0.4, 0.15, 0.0)"
5,350.0,0.5,67.4724386023332,"(0.4, 0.15, 0.0)"
5,350.0,0.65,67.4724386023332,"(0.4, 0.15, 0.0)"
5,350.0,0.8,67.4724386023332,"(0.4, 0.15, 0.0)"
5,375.0,0.5,67.4724386023332,"(0.4, 0.15, 0.0)"
5,375.0,0.65,67.4724386023332,"(0.4, 0.15, 0.0)"
5,375.0,0.8,67.4724386023332,"(0.4, 0.15, 0.0)"
