project,model,n,rmse_mps,mae_mps,r2,bias_mps
Bacso,empirical,31,76.69453821865692,65.1337628656694,0.34909023895596447,-39.92962422100378
Bacso,rf,31,81.26913526632134,68.54081521811814,0.2691248635049154,-38.40237073655282
Bacso,et,31,85.34237524718444,70.4326170243474,0.1940253869125922,-34.56935102191919
Bacso,base_stack,31,84.71872829709308,69.98204488462565,0.20576180862693905,-34.898466891824896
Bacso,specialist_stack,31,86.37314554651483,72.5658516894699,0.17443859280436436,-28.410174301113603
Balazs Bela u,empirical,55,37.14039413785134,30.265747142097386,0.4252991046757424,19.268606086508033
Balazs Bela u,rf,55,37.51672431886135,31.357887783780477,0.41359362729465843,20.18348232209497
Balazs Bela u,et,55,38.70771302036769,32.07840474479841,0.3757710842286346,20.883135642379486
Balazs Bela u,base_stack,55,36.796785833485465,30.2911505108873,0.4358837275976237,19.69250241242877
Balazs Bela u,specialist_stack,55,36.796785833485465,30.2911505108873,0.4358837275976237,19.69250241242877
Budapart,empirical,186,61.046625181676724,39.91683599298859,0.4013293439095157,-2.111008532739237
Budapart,rf,186,62.75893300037052,41.31284765509152,0.3672738930752205,-0.8248612031029703
Budapart,et,186,61.993091183909385,40.84072211296611,0.38262187675524906,-1.5063784640150522
Budapart,base_stack,186,61.90432529042611,40.74785199906614,0.38438861833863447,-1.5467844343241057
Budapart,specialist_stack,186,59.0610191245097,39.65934209695821,0.43964077630852205,-0.45827453221617254
Dunaterasz,empirical,43,42.726562953642116,32.02225246966167,0.7720186360572173,-7.822083686427816
Dunaterasz,rf,43,59.97393604404023,42.33760944691685,0.5508115969714495,14.575397255232886
Dunaterasz,et,43,52.34433216200516,38.44395825746726,0.6578293480135075,7.389688357863547
Dunaterasz,base_stack,43,43.489840758536175,33.13777385267844,0.7638004500210189,4.561055296768311
Dunaterasz,specialist_stack,43,43.774640099395185,33.39842600678835,0.7606967487067596,4.21602960333029
Dévai 14,empirical,18,138.29526697697625,115.108135789264,0.20120087562849953,-99.20173246484475
Dévai 14,rf,18,129.0803643269115,108.97799521592879,0.30410564900120596,-93.66844369852369
Dévai 14,et,18,134.23425381803867,113.3257251972622,0.24742523440465158,-92.36828834579302
Dévai 14,base_stack,18,134.3912451669118,113.43149216347744,0.24566388343749557,-92.73950409286411
Dévai 14,specialist_stack,18,117.83064904408077,99.2203416830382,0.420118189966441,-73.48487489186897
Futo u,empirical,31,69.0329923201142,55.48557904579834,0.20547174301682225,-6.067423716574395
Futo u,rf,31,62.70381904579412,50.684703920967664,0.3444830358859883,0.21046100113891125
Futo u,et,31,62.94652766410403,50.19949915444733,0.33939857584167965,4.274809382701152
Futo u,base_stack,31,64.52596341137466,51.686075941344775,0.3058314323040472,-2.8164256817808107
Futo u,specialist_stack,31,64.48417512861303,50.83603157933247,0.3067302555914809,13.441601340583858
Galeria,empirical,108,56.83390571028918,40.6496201112515,-0.002392739589804682,-3.9625265586442744
Galeria,rf,108,55.12696872604427,37.756654867947816,0.05691435893463481,-5.031492411987777
Galeria,et,108,54.2198473991927,39.04172748473523,0.08769618835307513,-4.078146374727476
Galeria,base_stack,108,54.24487401792926,38.0270253912733,0.08685379760159251,-4.862623726125496
Galeria,specialist_stack,108,51.71633257880971,38.60284858644638,0.1699995136930601,0.6718262032565621
H6-H7,empirical,97,38.96959118139529,31.652259041874046,0.7792467752981002,-17.311238381320806
H6-H7,rf,97,56.85925872129968,38.88683937021009,0.530043410170216,-7.703112236944967
H6-H7,et,97,56.46407772354777,42.13233255794081,0.5365532568877811,-17.26561726776692
H6-H7,base_stack,97,45.07383825577354,35.01009213652772,0.7046721248691209,-12.017897927927944
H6-H7,specialist_stack,97,47.79145470314687,36.56389003337207,0.6679864128769248,-11.584128868209204
Hungaria krt,empirical,64,79.98382127648279,62.79744739688297,0.05993972153188898,-6.417804125501636
Hungaria krt,rf,64,75.81317063095334,61.314074235277985,0.1554201337205532,4.868742379534526
Hungaria krt,et,64,76.54832714745888,62.145163837188036,0.13896101988819998,3.1145165335530787
Hungaria krt,base_stack,64,76.74857115911846,61.59438147817814,0.13445031609106706,0.11273375299942945
Hungaria krt,specialist_stack,64,75.4657823281063,60.38971164562115,0.16314240590925844,1.338055096919586
Lang,empirical,164,45.24548616790241,36.880639629343776,0.005494688994924224,17.157140802204665
Lang,rf,164,53.31276223114681,37.981054684740975,-0.3807624184061218,29.38410106359471
Lang,et,164,48.766315779827735,34.95243265670572,-0.15530454431790996,26.610979992168367
Lang,base_stack,164,48.45833058274188,36.335165732470024,-0.140757900539487,23.623210982850512
Lang,specialist_stack,164,51.570850349002505,38.015811486198665,-0.29200791307969665,25.303856736579146
Marina,empirical,30,27.624662135673674,21.64781076448481,0.7646464659274251,4.136963453143081
Marina,rf,30,41.30868853776785,29.306043853837874,0.4737288188871063,20.16857004020019
