model,mean_project_rmse,median_project_rmse,min_project_rmse,max_project_rmse
base_stack,64.67821029486119,55.01554995002326,33.69755449962456,137.28089897981673
empirical,64.16953609169138,56.83390571028918,27.624662135673677,138.29526697697625
et,66.50104577997276,55.795328600125295,38.07765609738701,137.19746858661236
rf,66.83017142171128,56.589395493463705,36.84764340724862,129.33367590734065
specialist_stack,64.1284939413152,53.54529344468108,36.36214797808992,129.17855417239764
