subset,nominal_pct,n,empirical_coverage,mean_width_mps,median_width_mps
all,90,1304,0.901840490797546,187.17618359805104,187.17618359805107
Quaternary,90,772,0.939119170984456,187.17618359805104,187.17618359805107
Tertiary,90,532,0.8477443609022557,187.17618359805104,187.17618359805104
MASW,90,1160,0.9163793103448276,187.17618359805107,187.17618359805107
SCPT,90,144,0.7847222222222222,187.17618359805107,187.17618359805107
vs_ge_400,90,215,0.6046511627906976,187.17618359805104,187.17618359805104
vs_lt_400,90,1089,0.960514233241506,187.17618359805104,187.17618359805107
