subset,model,rmse_mps,mae_mps,r2,bias_mps
all,base_weighted_stack,61.053197890908145,43.48999404381261,0.5964227050822981,-9.113159656218599
all,specialist_weighted_stack,60.256769998355146,42.78999677053704,0.6068832146479098,-6.2304322863493145
Quaternary,base_weighted_stack,53.6066697291849,36.812390363177755,0.448305717339175,-4.041486246821543
Quaternary,specialist_weighted_stack,52.90197916219291,36.59604757886908,0.4627150597312315,-2.2921491961112594
Tertiary,base_weighted_stack,70.47334197041309,53.18005051270379,0.43002461319479246,-16.472806032260944
Tertiary,specialist_weighted_stack,69.55999151089419,51.77820875543866,0.44470289586184264,-11.94538443985266
MASW,base_weighted_stack,56.87470220269984,40.54017219650253,0.6404923166361195,-6.806535852098082
MASW,specialist_weighted_stack,56.62128906533455,40.193263348487996,0.6436888522918678,-4.2409751425773266
SCPT,base_weighted_stack,87.73231088167579,67.25244781381048,0.2814275106158469,-27.69429585607833
SCPT,specialist_weighted_stack,83.98659398893723,63.70812711482102,0.34147633483241435,-22.256614833401446
vs_ge_400,base_weighted_stack,116.66470153977625,95.2004744432791,-2.38700308154028,-86.11695692055788
vs_ge_400,specialist_weighted_stack,112.44243279077533,89.20465632979453,-2.146278118242354,-74.3509511412111
vs_lt_400,base_weighted_stack,42.145845538965595,33.28085420369756,0.4408221722405504,6.089610235271711
vs_lt_400,specialist_weighted_stack,43.029830283226715,33.62640466287831,0.417119311851311,7.2185223085040215
