fold,model,rmse_mps,mae_mps,r2,bias_mps
1,empirical_baseline,68.64103150123071,52.01470950277883,0.5509152472718772,-39.379897537612855
1,random_forest_profile,55.39341436404208,42.31894852118333,0.7075329273956151,-16.801465828504558
1,extra_trees_profile,55.57812119899013,42.77917610449013,0.7055792391218556,-24.042418446901735
2,empirical_baseline,70.40140153625623,47.7983944810084,0.45798131236314554,-11.000659346522012
2,random_forest_profile,71.28943632017324,48.843030600194346,0.4442211551506945,-10.580491843619303
2,extra_trees_profile,70.87876879419794,47.954201036311105,0.4506059139085554,-10.09805790204913
3,empirical_baseline,48.46568677820551,38.410352490255576,0.365674831471958,4.235727786990774
3,random_forest_profile,54.726208696744216,39.6408340443815,0.19121344030083265,15.897846612313987
3,extra_trees_profile,52.228475791377164,37.99171568811493,0.2633555780281457,15.480631252573696
4,empirical_baseline,74.54940204976197,48.631096577340145,0.43552456908557513,-6.219250194656681
4,random_forest_profile,69.67588726116716,45.08816554443909,0.5069150688265291,-7.769961974675299
4,extra_trees_profile,70.35941932062292,46.04826458929143,0.4971931240353674,-7.6104664775856365
5,empirical_baseline,55.851054362823454,41.71844781789074,0.5888969676077658,-13.919250541102858
5,random_forest_profile,60.42286747606524,44.871241651045324,0.5188388090365847,1.4290104353916488
5,extra_trees_profile,59.27266466607306,45.394006351723135,0.5369831121299544,-3.523499249589095
0,base_weighted_stack,61.053197890908145,43.48999404381261,0.5964227050822981,-9.113159656218599
0,specialist_weighted_stack,60.256769998355146,42.78999677053704,0.6068832146479098,-6.2304322863493145
