model,rmse_mps,mae_mps,r2,bias_mps
empirical,62.11281946174298,44.82997451228691,0.5822923986271034,-14.827213936172244
rf,63.2439491942768,45.048502196988295,0.5669402170393352,-2.6526580538420155
et,62.74052398390528,44.86158103043146,0.5738071352727782,-5.4327979114685725
base_stack,61.47383741755002,44.30292026365661,0.590842477684708,-10.427732585123435
specialist_stack,60.52069816441957,43.90187148589287,0.6034319238538043,-8.858823632044286
