fold,threshold,cap,inner_rmse,specialist_weights
1,325.0,0.5,62.352379223944325,"(0.0, 0.0, 0.2)"
1,325.0,0.65,62.352379223944325,"(0.0, 0.0, 0.2)"
1,325.0,0.8,62.352379223944325,"(0.0, 0.0, 0.2)"
1,350.0,0.5,62.39931127229839,"(0.1, 0.0, 0.35)"
1,350.0,0.65,62.39931127229839,"(0.1, 0.0, 0.35)"
1,350.0,0.8,62.39931127229839,"(0.1, 0.0, 0.35)"
1,375.0,0.5,62.47851023272186,"(0.05, 0.0, 0.0)"
1,375.0,0.65,62.47851023272186,"(0.05, 0.0, 0.0)"
1,375.0,0.8,62.47851023272186,"(0.05, 0.0, 0.0)"
2,325.0,0.5,59.56716243739601,"(0.25, 0.0, 0.5)"
2,325.0,0.65,59.46291010360738,"(0.25, 0.0, 0.65)"
2,325.0,0.8,59.45302638582023,"(0.3, 0.0, 0.7)"
2,350.0,0.5,58.93600939426898,"(0.4, 0.0, 0.5)"
2,350.0,0.65,58.57098481002432,"(0.45, 0.0, 0.65)"
2,350.0,0.8,58.28204360100713,"(0.5, 0.0, 0.8)"
2,375.0,0.5,60.383661509577344,"(0.25, 0.0, 0.45)"
2,375.0,0.65,60.383661509577344,"(0.25, 0.0, 0.45)"
2,375.0,0.8,60.383661509577344,"(0.25, 0.0, 0.45)"
3,325.0,0.5,57.850245903329366,"(0.0, 0.0, 0.15)"
3,325.0,0.65,57.850245903329366,"(0.0, 0.0, 0.15)"
3,325.0,0.8,57.850245903329366,"(0.0, 0.0, 0.15)"
3,350.0,0.5,57.744913808877364,"(0.0, 0.0, 0.25)"
3,350.0,0.65,57.744913808877364,"(0.0, 0.0, 0.25)"
3,350.0,0.8,57.744913808877364,"(0.0, 0.0, 0.25)"
3,375.0,0.5,57.57973274437226,"(0.0, 0.0, 0.3)"
3,375.0,0.65,57.57973274437226,"(0.0, 0.0, 0.3)"
3,375.0,0.8,57.57973274437226,"(0.0, 0.0, 0.3)"
4,325.0,0.5,56.87549438382095,"(0.05, 0.0, 0.15)"
4,325.0,0.65,56.87549438382095,"(0.05, 0.0, 0.15)"
4,325.0,0.8,56.87549438382095,"(0.05, 0.0, 0.15)"
4,350.0,0.5,56.199744197968485,"(0.0, 0.0, 0.35)"
4,350.0,0.65,56.199744197968485,"(0.0, 0.0, 0.35)"
4,350.0,0.8,56.199744197968485,"(0.0, 0.0, 0.35)"
4,375.0,0.5,56.124396453958596,"(0.0, 0.0, 0.4)"
4,375.0,0.65,56.124396453958596,"(0.0, 0.0, 0.4)"
4,375.0,0.8,56.124396453958596,"(0.0, 0.0, 0.4)"
5,325.0,0.5,66.93869541931097,"(0.35, 0.0, 0.0)"
5,325.0,0.65,66.93869541931097,"(0.35, 0.0, 0.0)"
5,325.0,0.8,66.93869541931097,"(0.35, 0.0, 0.0)"
5,350.0,0.5,66.93869541931097,"(0.35, 0.0, 0.0)"
5,350.0,0.65,66.93869541931097,"(0.35, 0.0, 0.0)"
5,350.0,0.8,66.93869541931097,"(0.35, 0.0, 0.0)"
5,375.0,0.5,66.93869541931097,"(0.35, 0.0, 0.0)"
5,375.0,0.65,66.93869541931097,"(0.35, 0.0, 0.0)"
5,375.0,0.8,66.93869541931097,"(0.35, 0.0, 0.0)"
