variable,old_min,old_max,revised_min,revised_max,changed_rows
gamma_sat_kn_m3,21.578496732783663,42.5806658839977,15.854407296204009,24.975533466574987,1304
gamma_unsat_kn_m3,20.578496732783663,41.5806658839977,14.854407296204009,23.975533466574987,1304
sigma_v_kpa,47.09841309947841,1178.4605100971153,23.434326070804396,701.9155501428429,1304
sigma_eff_kpa,47.09841309947841,908.6855100971152,23.434326070804396,432.14055014284287,1304
bq,-0.0212571140078182,0.3078566377829202,-0.02018998481409937,0.29932936118910186,1288
