feature,importance
gamma_sat_kn_m3,0.079982505645002
gamma_unsat_kn_m3,0.07658029999324759
fs_mpa,0.058481254895240656
log_fs_mpa_roll3,0.05697628509855271
sigma_v_kpa,0.054068231042461286
log_sigma_v_kpa,0.04810332970480924
log_fs_mpa,0.04802624346455188
sigma_eff_kpa,0.04541173030667655
log_fs_mpa_roll5,0.04346600767418189
log_sigma_eff_kpa,0.03501660182383631
log_sigma_eff_kpa_roll5,0.02864794323069017
log_sigma_eff_kpa_roll3,0.028488855898520453
log_z_mid_m,0.024998075757919656
z_bot_m,0.021739678921819827
z_mid_m,0.020872731258235015
z_top_m,0.02032942346248276
log_qc_mpa_roll3,0.016225997040487238
qt_mpa,0.015802783753952176
log_qc_mpa,0.014873758369282808
log_qt_mpa,0.013648019450315458
log_qt_mpa_roll3,0.013287857173058666
z_below_gwl_m,0.013125545532527637
log_qt_mpa_roll5,0.012846804900651761
log_qc_mpa_roll5,0.012715236691028363
u0_kpa,0.01254034443014594
qc_mpa,0.01233660430826474
depth_over_gwl,0.01208250376530551
below_gwl_ratio,0.009215613856706599
depth_rank_pct,0.009136459502026403
z_rel_minmax,0.008841443244326837
age_method,0.00881761830153805
log_sigma_eff_kpa_local_resid_w3,0.007222363184971942
u2_mpa,0.0062550714889288315
gwl_m,0.006168812535302067
log_fs_mpa_local_resid_w3,0.006089097619370869
log_u2_mpa,0.006085375410868342
log_gwl_m,0.005650212236860851
test_method,0.005589667560163902
log_rf_pct_roll5,0.005416124852601565
qc_over_sigma_eff,0.0054094834198821495
log_rf_pct_roll3,0.005273402102098587
qt_over_sigma_eff,0.005220996136442698
log_qt_mpa_local_resid_w3,0.005041262728464284
bq,0.0047884166831095145
log_rf_pct,0.004736805574191309
rf_pct,0.004732749364546492
fs_over_qt,0.00472009158489073
log_qc_mpa_local_resid_w3,0.004597201544226718
log_rf_pct_local_resid_w3,0.0045649690599675495
log_sigma_eff_kpa_diff1,0.004455503190668502
log_fs_mpa_diff1,0.004388192273414958
log_rf_pct_diff1,0.004206299305449376
log_qt_mpa_diff1,0.004066701507560825
log_qc_mpa_diff1,0.0037669600143349206
z_above_gwl_m,0.003091414665576828
geo_age,0.0017770374582600204
