model,rmse_mps,mae_mps,r2,bias_mps
specialist_weighted_stack,59.32048328948728,42.14711799232112,0.6190050204865487,-3.364112679083816
base_weighted_stack,61.053197890908166,43.48999404381263,0.5964227050822978,-9.113159656218594
extra_trees_profile,61.4561783080662,43.91351615236226,0.59107751489729,-8.271163322085535
random_forest_profile,61.92120650732987,43.961409718158016,0.5848656108126027,-5.299642798297789
empirical_baseline,64.98090336158425,46.534108114830595,0.5428261502771895,-16.497818445560068
