subset,model,rmse_mps,mae_mps,r2,bias_mps
all,base_weighted_stack,61.053197890908166,43.48999404381263,0.5964227050822978,-9.113159656218594
all,specialist_weighted_stack,59.32048328948728,42.14711799232112,0.6190050204865487,-3.364112679083816
Quaternary,base_weighted_stack,53.60666972918492,36.81239036317778,0.4483057173391747,-4.041486246821531
Quaternary,specialist_weighted_stack,52.53406602176689,36.61188640815688,0.4701622977515083,-1.2126336436741778
Tertiary,base_weighted_stack,70.47334197041313,53.180050512703794,0.4300246131947919,-16.47280603226095
Tertiary,specialist_weighted_stack,67.97395634526052,50.17944653174743,0.4697368290991619,-6.4861837605429145
MASW,base_weighted_stack,56.87470220269985,40.540172196502546,0.6404923166361194,-6.806535852098072
MASW,specialist_weighted_stack,55.99516303937663,39.58461313715983,0.651525557360274,-1.5923333331338179
SCPT,base_weighted_stack,87.73231088167584,67.2524478138105,0.28142751061584603,-27.694295856078366
SCPT,specialist_weighted_stack,81.28908157273769,62.789518214453764,0.38309842078735845,-17.636779632569908
vs_ge_400,base_weighted_stack,116.6647015397763,95.2004744432791,-2.387003081540283,-86.1169569205579
vs_ge_400,specialist_weighted_stack,106.68820491290178,82.09009858717442,-1.8324970028581422,-63.15454771579336
vs_lt_400,base_weighted_stack,42.1458455389656,33.28085420369757,0.4408221722405501,6.089610235271717
vs_lt_400,specialist_weighted_stack,44.34464248594992,34.26122191528397,0.38095429310307793,8.440243182158198
