subset,nominal_pct,n,empirical_coverage,mean_width_mps,median_width_mps
all,90,1304,0.901840490797546,187.90041183064162,187.90041183064164
Quaternary,90,772,0.9365284974093264,187.90041183064162,187.90041183064164
Tertiary,90,532,0.8515037593984962,187.90041183064162,187.90041183064162
MASW,90,1160,0.9146551724137931,187.90041183064162,187.90041183064164
SCPT,90,144,0.7986111111111112,187.90041183064164,187.90041183064164
vs_ge_400,90,215,0.6325581395348837,187.9004118306416,187.90041183064162
vs_lt_400,90,1089,0.9550045913682277,187.90041183064167,187.90041183064164
