subset,nominal_pct,n,empirical_coverage,mean_width_mps,median_width_mps
all,90,1304,0.901840490797546,186.86110756510507,186.86110756510504
Quaternary,90,772,0.9365284974093264,186.8611075651051,186.86110756510504
Tertiary,90,532,0.8515037593984962,186.86110756510507,186.86110756510504
MASW,90,1160,0.9146551724137931,186.86110756510507,186.86110756510504
SCPT,90,144,0.7986111111111112,186.86110756510504,186.86110756510504
vs_ge_400,90,215,0.6232558139534884,186.86110756510513,186.86110756510504
vs_lt_400,90,1089,0.9568411386593205,186.86110756510507,186.86110756510504
