subset,model,rmse_mps,mae_mps,r2,bias_mps
all,base_weighted_stack,61.053197890908116,43.4899940438126,0.5964227050822983,-9.113159656218563
all,specialist_weighted_stack,59.41535370384528,42.178812196488565,0.617785406188586,-4.818956179697853
Quaternary,base_weighted_stack,53.60666972918488,36.81239036317776,0.44830571733917557,-4.041486246821533
Quaternary,specialist_weighted_stack,52.643690938118056,36.57980222203721,0.46794872394419396,-2.017333339865251
Tertiary,base_weighted_stack,70.47334197041306,53.18005051270376,0.4300246131947929,-16.472806032260866
Tertiary,specialist_weighted_stack,68.05393347821317,50.30369133234654,0.46848829571215567,-8.884469022462456
MASW,base_weighted_stack,56.87470220269981,40.54017219650252,0.6404923166361198,-6.806535852098043
MASW,specialist_weighted_stack,55.89575243932958,39.579232194109736,0.6527617820914134,-2.8366908445506844
SCPT,base_weighted_stack,87.73231088167579,67.25244781381048,0.2814275106158468,-27.694295856078313
SCPT,specialist_weighted_stack,82.45922840266005,63.11987332676247,0.3652101386845751,-20.78720471282783
vs_ge_400,base_weighted_stack,116.66470153977615,95.20047444327896,-2.3870030815402745,-86.11695692055768
vs_ge_400,specialist_weighted_stack,108.70962503407468,84.52523627207255,-1.9408484088193898,-68.80788344100762
vs_lt_400,base_weighted_stack,42.1458455389656,33.28085420369758,0.4408221722405502,6.089610235271713
vs_lt_400,specialist_weighted_stack,43.5198045105212,33.818407075964636,0.40376938528913087,7.814303105133737
