fold,n_rows,n_projects,n_cpt,n_masw,n_scpt,n_quaternary,n_tertiary,n_vs_ge_400,projects
1,389,1,19,389,0,137,252,132,Puskas
2,235,3,18,186,49,213,22,28,Bacso; Budapart; Dévai 14
3,225,3,14,194,31,134,91,4,Futo u; Lang; Marina
4,230,4,16,205,25,156,74,15,Balazs Bela u; Galeria; River; Tömő u. 23
5,225,4,13,186,39,132,93,36,Dunaterasz; H6-H7; Hungaria krt; Paskal
