model,rmse_mps,mae_mps,r2,bias_mps
empirical,62.11281946174298,44.82997451228691,0.5822923986271034,-14.827213936172244
rf,63.29366233214271,45.24539203115856,0.5662591330036455,-2.2171877822319663
et,62.46632602370726,44.545864951406415,0.5775242177781175,-5.06719947530873
base_stack,61.340111578532536,44.12395977770317,0.5926206462116731,-9.718203939106186
specialist_stack,60.56303676757607,43.81784416770233,0.6028768737017849,-8.547147707246785
