project,model,n,rmse_mps,mae_mps,r2,bias_mps
Bacso,empirical,31,76.69453821865692,65.1337628656694,0.34909023895596447,-39.92962422100378
Bacso,rf,31,82.3360739374919,69.621747293881,0.24980836101292536,-42.10491823939007
Bacso,et,31,83.35454184603945,70.36470197756223,0.2311343688749653,-41.40441068013599
Bacso,base_stack,31,82.22490043921968,69.36566429109706,0.2518328715076139,-41.23848178034435
Bacso,specialist_stack,31,81.48808890022896,68.71908516386605,0.2651813408304412,-40.16553999703323
Balazs Bela u,empirical,55,37.14039413785134,30.265747142097386,0.4252991046757424,19.268606086508033
Balazs Bela u,rf,55,36.84764340724862,30.961368453667724,0.434323297222578,19.326143531844817
Balazs Bela u,et,55,38.09344866362979,31.6862514381396,0.3954260350800368,20.511645178498416
Balazs Bela u,base_stack,55,36.362147978089915,29.867594854396135,0.44913152793413635,19.211137231054252
Balazs Bela u,specialist_stack,55,36.362147978089915,29.867594854396135,0.44913152793413635,19.211137231054252
Budapart,empirical,186,61.046625181676724,39.91683599298859,0.4013293439095157,-2.111008532739237
Budapart,rf,186,63.40808428154734,42.029453975930785,0.3541169072667162,-0.5693034458513786
Budapart,et,186,63.1792545974001,42.09525135729501,0.35877027402423944,0.2631145545711323
Budapart,base_stack,186,62.728832425646615,41.62010637241269,0.36788068644306104,-0.12540044684441357
Budapart,specialist_stack,186,59.98535637470786,40.54071182702961,0.4219636655034623,0.953994098538669
Dunaterasz,empirical,43,42.726562953642116,32.02225246966167,0.7720186360572173,-7.822083686427816
Dunaterasz,rf,43,55.527971732896475,40.95078577776069,0.614941201352923,14.438950612518294
Dunaterasz,et,43,53.504744593643416,38.96250270871855,0.642490142079047,10.903192688545994
Dunaterasz,base_stack,43,42.86185019125834,33.475751653177646,0.7705726129450245,5.765510127260051
Dunaterasz,specialist_stack,43,43.337756860259674,33.70836683018139,0.7654495403768845,5.4168342243949095
Dévai 14,empirical,18,138.29526697697625,115.108135789264,0.20120087562849953,-99.20173246484475
Dévai 14,rf,18,129.33367590734065,110.78281189597479,0.3013716767851997,-97.63910038617406
Dévai 14,et,18,137.19746858661236,117.52042588178409,0.21383239775544682,-103.90823276217779
Dévai 14,base_stack,18,137.28089897981673,117.20248859079285,0.2128759629797271,-103.25738480675126
Dévai 14,specialist_stack,18,126.85565585317221,109.68474153589844,0.327886504139145,-95.73963775185683
Futo u,empirical,31,69.0329923201142,55.48557904579834,0.20547174301682225,-6.067423716574395
