subset,model,rmse_mps,mae_mps,r2,bias_mps
all,base_weighted_stack,61.053197890908145,43.48999404381262,0.5964227050822981,-9.113159656218604
all,specialist_weighted_stack,60.2438407988817,42.778272122587246,0.6070518974379915,-6.10299327048594
Quaternary,base_weighted_stack,53.60666972918492,36.81239036317778,0.4483057173391747,-4.041486246821556
Quaternary,specialist_weighted_stack,52.804400222018714,36.55574375333108,0.46469530106875845,-1.9769377325193624
Tertiary,base_weighted_stack,70.47334197041309,53.18005051270379,0.43002461319479246,-16.472806032260944
Tertiary,specialist_weighted_stack,69.6400860972847,51.807956147146946,0.4434233701764211,-12.090427246632927
MASW,base_weighted_stack,56.87470220269983,40.54017219650254,0.6404923166361196,-6.806535852098079
MASW,specialist_weighted_stack,56.62128906533456,40.193263348487996,0.6436888522918678,-4.240975142577311
SCPT,base_weighted_stack,87.73231088167584,67.25244781381053,0.2814275106158459,-27.694295856078416
SCPT,specialist_weighted_stack,83.90256031679388,63.601953913942275,0.34279346116317133,-21.102583745305456
vs_ge_400,base_weighted_stack,116.66470153977626,95.2004744432791,-2.3870030815402807,-86.11695692055784
vs_ge_400,specialist_weighted_stack,112.27974784744531,89.0428996292701,-2.1371804531790146,-74.18919444068656
vs_lt_400,base_weighted_stack,42.145845538965595,33.28085420369757,0.4408221722405504,6.089610235271692
vs_lt_400,specialist_weighted_stack,43.091977354216084,33.64430066809981,0.4154344115725993,7.339186023906288
