model,rmse_mps,mae_mps,r2,bias_mps
specialist_weighted_stack,60.11770935935322,42.92161709547684,0.608695591614405,-5.300514875575708
base_weighted_stack,61.053197890908145,43.48999404381262,0.596422705082298,-9.113159656218603
extra_trees_profile,61.456178308066185,43.91351615236226,0.5910775148972901,-8.271163322085526
random_forest_profile,61.92120650732985,43.96140971815799,0.5848656108126029,-5.299642798297813
empirical_baseline,64.98090336158425,46.534108114830595,0.5428261502771895,-16.497818445560068
