subset,model,rmse_mps,mae_mps,r2,bias_mps
all,base_weighted_stack,61.053197890908145,43.48999404381262,0.596422705082298,-9.113159656218603
all,specialist_weighted_stack,60.11770935935322,42.92161709547684,0.608695591614405,-5.300514875575708
Quaternary,base_weighted_stack,53.606669729184915,36.81239036317778,0.4483057173391748,-4.041486246821549
Quaternary,specialist_weighted_stack,52.807493812264184,36.798612597565004,0.46463257667846236,-1.658147753317875
Tertiary,base_weighted_stack,70.47334197041309,53.18005051270379,0.43002461319479235,-16.472806032260944
Tertiary,specialist_weighted_stack,69.36898433182037,51.80687926161957,0.44774832776404405,-10.586055135694215
MASW,base_weighted_stack,56.87470220269982,40.54017219650253,0.6404923166361196,-6.806535852098076
MASW,specialist_weighted_stack,56.46383504458455,40.27706399240359,0.645667776400439,-3.6246110642310874
SCPT,base_weighted_stack,87.7323108816759,67.25244781381053,0.28142751061584514,-27.694295856078373
SCPT,specialist_weighted_stack,83.9380646875208,64.22496153690025,0.34223713388355503,-18.800851133629592
vs_ge_400,base_weighted_stack,116.66470153977625,95.20047444327908,-2.38700308154028,-86.11695692055787
vs_ge_400,specialist_weighted_stack,110.44336683164373,87.27758691910161,-2.0353999182823803,-74.71010818254241
vs_lt_400,base_weighted_stack,42.1458455389656,33.28085420369757,0.4408221722405502,6.089610235271704
vs_lt_400,specialist_weighted_stack,43.811975267055594,34.1644697014646,0.39573690892380375,8.402940185028372
