subset,nominal_pct,n,empirical_coverage,mean_width_mps,median_width_mps
all,90,1304,0.901840490797546,187.83429227265415,187.83429227265412
Quaternary,90,772,0.939119170984456,187.83429227265418,187.83429227265412
Tertiary,90,532,0.8477443609022557,187.83429227265412,187.83429227265412
MASW,90,1160,0.9172413793103448,187.83429227265415,187.83429227265412
SCPT,90,144,0.7777777777777778,187.83429227265412,187.83429227265412
vs_ge_400,90,215,0.6325581395348837,187.83429227265418,187.83429227265412
vs_lt_400,90,1089,0.9550045913682277,187.83429227265412,187.83429227265412
