model,rmse_mps,mae_mps,r2,bias_mps
specialist_weighted_stack,60.09507533490497,42.9095673616875,0.6089901845511847,-5.099987498113015
base_weighted_stack,61.05319789090816,43.48999404381263,0.5964227050822979,-9.113159656218619
extra_trees_profile,61.4561783080662,43.91351615236225,0.59107751489729,-8.271163322085528
random_forest_profile,61.92120650732987,43.96140971815802,0.5848656108126027,-5.299642798297833
empirical_baseline,64.98090336158425,46.534108114830595,0.5428261502771895,-16.497818445560068
