fold,model,rmse_mps,mae_mps,r2,bias_mps
1,empirical_baseline,68.64103150123071,52.01470950277883,0.5509152472718772,-39.379897537612855
1,random_forest_profile,55.393414364042215,42.318948521183444,0.7075329273956137,-16.801465828504753
1,extra_trees_profile,55.57812119899023,42.77917610449016,0.7055792391218546,-24.042418446901838
2,empirical_baseline,70.40140153625623,47.7983944810084,0.45798131236314554,-11.000659346522012
2,random_forest_profile,71.28943632017324,48.843030600194375,0.4442211551506945,-10.580491843619274
2,extra_trees_profile,70.878768794198,47.95420103631115,0.45060591390855453,-10.098057902049147
3,empirical_baseline,48.46568677820551,38.410352490255576,0.365674831471958,4.235727786990774
3,random_forest_profile,54.726208696744266,39.64083404438152,0.19121344030083098,15.897846612314067
3,extra_trees_profile,52.22847579137714,37.99171568811489,0.26335557802814624,15.480631252573621
4,empirical_baseline,74.54940204976197,48.631096577340145,0.43552456908557513,-6.219250194656681
4,random_forest_profile,69.67588726116708,45.0881655444391,0.5069150688265304,-7.769961974675204
4,extra_trees_profile,70.35941932062288,46.04826458929141,0.49719312403536775,-7.61046647758557
5,empirical_baseline,55.851054362823454,41.71844781789074,0.5888969676077658,-13.919250541102858
5,random_forest_profile,60.422867476065264,44.87124165104532,0.5188388090365845,1.4290104353917135
5,extra_trees_profile,59.27266466607312,45.39400635172317,0.5369831121299535,-3.5234992495891038
0,base_weighted_stack,61.05319789090816,43.48999404381263,0.5964227050822979,-9.113159656218619
0,specialist_weighted_stack,60.09507533490497,42.9095673616875,0.6089901845511847,-5.099987498113015
