model,rmse_mps,mae_mps,r2,bias_mps
specialist_weighted_stack,60.09507533490494,42.90956736168748,0.6089901845511849,-5.099987498112973
base_weighted_stack,61.053197890908145,43.48999404381261,0.596422705082298,-9.113159656218581
extra_trees_profile,61.456178308066185,43.913516152362234,0.5910775148972902,-8.271163322085547
random_forest_profile,61.921206507329856,43.961409718157995,0.5848656108126028,-5.299642798297758
empirical_baseline,64.98090336158425,46.534108114830595,0.5428261502771895,-16.497818445560068
