model,rmse_mps,mae_mps,r2,bias_mps
specialist_weighted_stack,60.24384079888169,42.778272122587246,0.6070518974379916,-6.1029932704859435
base_weighted_stack,61.053197890908145,43.48999404381262,0.5964227050822981,-9.113159656218599
extra_trees_profile,61.45617830806614,43.913516152362234,0.5910775148972907,-8.271163322085584
random_forest_profile,61.92120650732985,43.96140971815801,0.5848656108126029,-5.29964279829777
empirical_baseline,64.98090336158425,46.534108114830595,0.5428261502771895,-16.497818445560068
