feature,importance
gamma_sat_kn_m3,0.09277933807051947
gamma_unsat_kn_m3,0.08435816606075239
fs_mpa,0.0691730520022489
log_fs_mpa_roll3,0.059519490576610774
log_sigma_v_kpa,0.056201991480675624
log_sigma_eff_kpa,0.05350992390642689
sigma_eff_kpa,0.04549504499071898
log_sigma_eff_kpa_roll3,0.0434503548475698
sigma_v_kpa,0.03384957991501853
log_fs_mpa,0.03296386629302674
log_z_mid_m,0.026228035197053055
z_bot_m,0.024504818108015327
z_mid_m,0.022991598968565032
z_top_m,0.02281744321171584
log_qt_mpa_roll3,0.02084426970939994
depth_over_gwl,0.019315223522151845
log_qc_mpa_roll3,0.018504355217852417
log_qt_mpa,0.018494308673693154
u0_kpa,0.018074843554011857
z_below_gwl_m,0.016890458631722928
qc_mpa,0.015063424979221068
log_qc_mpa,0.012627639759297688
z_rel_minmax,0.012386109677327596
qt_mpa,0.01209809610468765
below_gwl_ratio,0.011332538994273554
depth_rank_pct,0.01040395816149509
log_sigma_eff_kpa_local_resid_w3,0.008789180272183653
log_gwl_m,0.0078120340604272
age_method,0.007714599420268727
log_fs_mpa_local_resid_w3,0.007175438301331704
qt_over_sigma_eff,0.006958591051566211
test_method,0.006631773275622508
log_rf_pct_roll3,0.006524390971901721
log_u2_mpa,0.006508260756797532
u2_mpa,0.006477688110321175
gwl_m,0.006264812645127603
log_rf_pct,0.0060716660258269195
qc_over_sigma_eff,0.005633779776640032
log_sigma_eff_kpa_diff1,0.005566261731242577
log_qt_mpa_local_resid_w3,0.005465434331176396
log_qc_mpa_local_resid_w3,0.005359433641118832
fs_over_qt,0.005354797595686213
log_rf_pct_diff1,0.0052837806068440525
rf_pct,0.005193547374697024
bq,0.0051081693056442175
geo_age,0.005063760632186005
log_rf_pct_local_resid_w3,0.005052047740656563
log_qt_mpa_diff1,0.00439301349579484
log_qc_mpa_diff1,0.004376069664039816
log_fs_mpa_diff1,0.004029521012348856
z_above_gwl_m,0.0033140175864976172
