fold,threshold,cap,inner_rmse,specialist_weights
1,325.0,0.5,61.01991183662126,"(0.0, 0.5, 0.1)"
1,325.0,0.65,60.99872296472603,"(0.0, 0.6, 0.1)"
1,325.0,0.8,60.99872296472603,"(0.0, 0.6, 0.1)"
1,350.0,0.5,60.90791805418851,"(0.05, 0.5, 0.45)"
1,350.0,0.65,60.8703076239774,"(0.05, 0.65, 0.5)"
1,350.0,0.8,60.8703076239774,"(0.05, 0.65, 0.5)"
1,375.0,0.5,61.05324805173946,"(0.0, 0.5, 0.0)"
1,375.0,0.65,61.03805192459902,"(0.0, 0.6, 0.0)"
1,375.0,0.8,61.03805192459902,"(0.0, 0.6, 0.0)"
2,325.0,0.5,58.222600972601214,"(0.35, 0.5, 0.5)"
2,325.0,0.65,58.0009897841803,"(0.25, 0.65, 0.65)"
2,325.0,0.8,57.89214345287986,"(0.15, 0.8, 0.8)"
2,350.0,0.5,57.87651533107415,"(0.5, 0.5, 0.5)"
2,350.0,0.65,57.505027208518854,"(0.55, 0.65, 0.65)"
2,350.0,0.8,57.22223205119152,"(0.55, 0.8, 0.8)"
2,375.0,0.5,59.17640853465319,"(0.5, 0.5, 0.5)"
2,375.0,0.65,59.11479941353053,"(0.65, 0.65, 0.5)"
2,375.0,0.8,59.07639657898359,"(0.65, 0.8, 0.5)"
3,325.0,0.5,57.09480548687707,"(0.0, 0.45, 0.25)"
3,325.0,0.65,57.09480548687707,"(0.0, 0.45, 0.25)"
3,325.0,0.8,57.09480548687707,"(0.0, 0.45, 0.25)"
3,350.0,0.5,57.10927661364576,"(0.0, 0.5, 0.3)"
3,350.0,0.65,57.10927661364576,"(0.0, 0.5, 0.3)"
3,350.0,0.8,57.10927661364576,"(0.0, 0.5, 0.3)"
3,375.0,0.5,56.71905030762244,"(0.0, 0.5, 0.5)"
3,375.0,0.65,56.7158761633955,"(0.0, 0.55, 0.5)"
3,375.0,0.8,56.7158761633955,"(0.0, 0.55, 0.5)"
4,325.0,0.5,56.54373231613143,"(0.15, 0.5, 0.1)"
4,325.0,0.65,56.41735618577079,"(0.15, 0.65, 0.1)"
4,325.0,0.8,56.30959707844121,"(0.15, 0.8, 0.1)"
4,350.0,0.5,55.81142458339293,"(0.0, 0.5, 0.45)"
4,350.0,0.65,55.68962867349513,"(0.0, 0.65, 0.45)"
4,350.0,0.8,55.58568007416019,"(0.0, 0.8, 0.45)"
4,375.0,0.5,55.889572998104555,"(0.05, 0.5, 0.45)"
4,375.0,0.65,55.76706541654513,"(0.05, 0.65, 0.45)"
4,375.0,0.8,55.6636650239075,"(0.05, 0.8, 0.45)"
5,325.0,0.5,67.55708221295237,"(0.4, 0.1, 0.0)"
5,325.0,0.65,67.55708221295237,"(0.4, 0.1, 0.0)"
5,325.0,0.8,67.55708221295237,"(0.4, 0.1, 0.0)"
5,350.0,0.5,67.55708221295237,"(0.4, 0.1, 0.0)"
5,350.0,0.65,67.55708221295237,"(0.4, 0.1, 0.0)"
5,350.0,0.8,67.55708221295237,"(0.4, 0.1, 0.0)"
5,375.0,0.5,67.55708221295237,"(0.4, 0.1, 0.0)"
5,375.0,0.65,67.55708221295237,"(0.4, 0.1, 0.0)"
5,375.0,0.8,67.55708221295237,"(0.4, 0.1, 0.0)"
