project,model,n,rmse_mps,mae_mps,r2,bias_mps
Bacso,empirical,31,76.69453821865692,65.1337628656694,0.34909023895596447,-39.92962422100378
Bacso,rf,31,82.04551011906001,68.91820526077241,0.2550938674470874,-39.46292897695545
Bacso,et,31,85.37246827023183,70.59648599699014,0.19345688881912748,-34.11495936300379
Bacso,base_stack,31,84.15334917467324,69.73557769541058,0.21632729572494513,-34.80988127583637
Bacso,specialist_stack,31,85.84342860370691,72.37963234294234,0.1845336950075711,-25.82998443330488
Balazs Bela u,empirical,55,37.14039413785134,30.265747142097386,0.4252991046757424,19.268606086508033
Balazs Bela u,rf,55,37.53011744432561,31.310303612853556,0.4131748692002354,19.802479450145864
Balazs Bela u,et,55,38.38027852901873,31.688184200033785,0.38628731271063077,20.42846144957347
Balazs Bela u,base_stack,55,36.72930828705758,30.16503947897814,0.4379507711907852,19.449055334902216
Balazs Bela u,specialist_stack,55,36.72930828705758,30.16503947897814,0.4379507711907852,19.449055334902216
Budapart,empirical,186,61.046625181676724,39.91683599298859,0.4013293439095157,-2.111008532739237
Budapart,rf,186,63.14803251369577,41.41469574339372,0.3594038864784561,-1.1809440477557729
Budapart,et,186,62.82984287092697,41.274211284904545,0.3658432800606246,-1.767063058865333
Budapart,base_stack,186,62.57426884527792,41.059639584857074,0.37099192735482733,-1.8210391422249594
Budapart,specialist_stack,186,59.461137523231194,39.84762024966707,0.4320225701838022,-0.6090198070349486
Dunaterasz,empirical,43,42.726562953642116,32.02225246966167,0.7720186360572173,-7.822083686427816
Dunaterasz,rf,43,58.35517628138779,42.17670395520207,0.5747324927075629,12.4371892339752
Dunaterasz,et,43,53.31148322438547,38.88366848341617,0.6450681587416944,7.564702082032996
Dunaterasz,base_stack,43,43.5061784310158,33.4477815676952,0.7636229522119127,3.3849328321853838
Dunaterasz,specialist_stack,43,43.883932102002994,33.617744299329175,0.759500321701389,3.140865864601448
Dévai 14,empirical,18,138.29526697697625,115.108135789264,0.20120087562849953,-99.20173246484475
Dévai 14,rf,18,129.39831442632118,109.39178321331433,0.30067317990193,-94.562132557928
Dévai 14,et,18,134.10904961174128,113.1051056237886,0.2488284765738864,-91.78359843428552
Dévai 14,base_stack,18,134.43983226330786,113.33911640784906,0.2451183475007006,-92.58294598786064
Dévai 14,specialist_stack,18,118.12119511734423,99.32634977464258,0.4172549263651516,-72.47299146271831
Futo u,empirical,31,69.0329923201142,55.48557904579834,0.20547174301682225,-6.067423716574395
Futo u,rf,31,62.576289123031586,50.69771794196645,0.34714676566542313,-0.7942428062343303
Futo u,et,31,61.93578948897961,49.243968910618605,0.3604429283080163,5.542598717191527
Futo u,base_stack,31,63.43350883016773,49.675668714786624,0.3291376489970421,-1.2983230833872312
Futo u,specialist_stack,31,65.03928258946092,51.32514230497217,0.29474295367499914,14.845088901627141
Galeria,empirical,108,56.83390571028918,40.6496201112515,-0.002392739589804682,-3.9625265586442744
Galeria,rf,108,55.117875481132714,37.93647793858758,0.057225458986727595,-4.170323701973597
Galeria,et,108,53.77331239909296,38.237139443431126,0.10266111737092676,-4.156809315295562
Galeria,base_stack,108,54.34076354553115,38.222935455744,0.08362257801844342,-4.373270070351805
Galeria,specialist_stack,108,52.25089192636433,38.826966442100655,0.1527524452828224,1.0515700784307012
H6-H7,empirical,97,38.96959118139529,31.652259041874046,0.7792467752981002,-17.311238381320806
H6-H7,rf,97,58.0071709247536,40.30270538573132,0.5108762773662585,-8.583440825417261
H6-H7,et,97,56.76160280261895,42.19963318330541,0.5316563271158412,-16.54047416824643
H6-H7,base_stack,97,45.807913003359545,35.769274807192694,0.69497434485184,-12.553385941202752
H6-H7,specialist_stack,97,47.91300427981382,36.74400154771977,0.6662954231079457,-11.700522947740138
Hungaria krt,empirical,64,79.98382127648279,62.79744739688297,0.05993972153188898,-6.417804125501636
Hungaria krt,rf,64,75.40745024835054,60.858377994764226,0.16443562188427496,3.9951995443867205
Hungaria krt,et,64,75.13170323475353,60.16632489804843,0.17053536705034578,2.19074301214633
Hungaria krt,base_stack,64,76.58485494152863,61.32562259906515,0.13813907223977862,-0.3906958600340342
Hungaria krt,specialist_stack,64,76.20666664067406,61.11176213347487,0.14663007046550958,1.8307558112384443
Lang,empirical,164,45.24548616790241,36.880639629343776,0.005494688994924224,17.157140802204665
Lang,rf,164,53.78133741830991,38.3763638747143,-0.4051406062912106,29.711179909379187
Lang,et,164,49.41986257611831,35.82164367800234,-0.18647790576812917,26.735171841526412
Lang,base_stack,164,47.91460001737825,35.93643856232251,-0.11530159345389568,23.55749983857422
Lang,specialist_stack,164,51.15465368827945,37.62647426714926,-0.2712380582627867,25.24753554340098
Marina,empirical,30,27.624662135673674,21.64781076448481,0.7646464659274251,4.136963453143081
Marina,rf,30,42.506838821125996,30.233745306789608,0.44275729669691877,20.7793775417748
Marina,et,30,37.20091902280937,26.89865306113462,0.5731904662209089,19.646711619266963
Marina,base_stack,30,33.19608525551466,24.67148752634462,0.6601396373457258,13.513221341035342
Marina,specialist_stack,30,38.619862222006375,26.803312899529796,0.5400101867428713,15.645046714220516
Paskal,empirical,21,39.96517505543144,37.0812074142698,-0.5145526645041627,18.74760821868719
Paskal,rf,21,37.976575184387784,31.577811297753247,-0.36757934572003337,16.06388346292686
Paskal,et,21,38.800980321160424,34.3477264355275,-0.4275993345058653,18.833826953627483
Paskal,base_stack,21,38.2041397704813,33.701576530793744,-0.384018166542508,17.037471148628914
Paskal,specialist_stack,21,38.7837300082797,35.39029214133226,-0.4263302397202524,21.285067863783745
Puskas,empirical,389,60.13094089970291,47.74181578024894,0.6553671220273567,-38.50778186721319
Puskas,rf,389,55.65528811779393,42.96640357573904,0.7047611000834695,-14.756382618869196
Puskas,et,389,56.51260782378013,43.82657792850347,0.6955952639753071,-24.82274760978338
Puskas,base_stack,389,56.04320602974057,44.20648280179493,0.7006311209310037,-31.263461485859352
Puskas,specialist_stack,389,52.022779614713166,41.047637205676196,0.7420427050941935,-24.1033208159774
River,empirical,39,136.66665263324543,88.39808541109988,0.4334241966777568,-68.71298059950125
River,rf,39,127.74080104975971,85.12640546978595,0.505014839736698,-59.47987455548617
River,et,39,130.24264776982872,86.38166877027483,0.48543606764119396,-61.55501036726424
River,base_stack,39,132.04130460627678,86.71676947743354,0.471125629174031,-64.2461470494104
River,specialist_stack,39,130.09649450565507,86.21797817197242,0.48659026718249976,-61.70028646696854
Tömő u. 23,empirical,28,52.1864265263301,43.068403463550524,0.5519468992704892,13.989736637266784
Tömő u. 23,rf,28,55.14139336006254,45.23169515543659,0.4997698774392002,11.335644059498607
Tömő u. 23,et,28,53.790810810612584,44.2765728183604,0.5239741365558971,9.988579673680869
Tömő u. 23,base_stack,28,53.30996470520081,44.03028133918521,0.5324466659966147,12.585114444318318
Tömő u. 23,specialist_stack,28,53.30996470520081,44.03028133918521,0.5324466659966147,12.585114444318318
